year,deposit,desposit year,dividend,total deposit
1,"1,000.00","12,000.00",260.00,"12,000.00"
2,"1,000.00","12,000.00",740.00,"24,000.00"
3,"1,000.00","12,000.00","1,220.00","36,000.00"
4,"1,000.00","12,000.00","1,700.00","48,000.00"
5,"1,000.00","12,000.00","2,180.00","60,000.00"
6,"1,000.00","12,000.00","2,660.00","72,000.00"
7,"1,000.00","12,000.00","3,140.00","84,000.00"
8,"1,000.00","12,000.00","3,620.00","96,000.00"
9,"1,000.00","12,000.00","4,100.00","108,000.00"
10,"1,000.00","12,000.00","4,580.00","120,000.00"
